appliance_type,NOT_OWNED,OWNED_QUANTITY_KNOWN,OWNED_QUANTITY_UNKNOWN,OWNERSHIP_UNKNOWN
air_conditioner,452,46,0,0
air_cooler,454,44,0,0
ceiling_fan,14,484,0,0
desktop,495,0,3,0
electric_coil,498,0,0,0
electric_grill_toaster,498,0,0,0
electric_iron,468,0,30,0
electric_kettle,497,0,1,0
electric_rice_cooker,465,0,33,0
geyser,0,13,0,485
induction_cooktop,498,0,0,0
laptop_tablet,494,0,4,0
led_bulb,145,353,0,0
led_tube,326,172,0,0
microwave,498,0,0,0
mixer_grinder,227,0,271,0
modem_router,497,0,1,0
refrigerator,327,171,0,0
table_fan,438,60,0,0
television,98,400,0,0
washing_machine,443,0,55,0
water_pump,435,0,63,0
water_purifier,491,0,7,0
