appliance_type,inventory_available_profiles,reported_geyser_use_profiles,model_status
air_conditioner,46,0,CANDIDATE_SOURCE_REVIEW_REQUIRED
air_cooler,44,0,MODEL_REQUIRED
ceiling_fan,484,0,MODEL_REQUIRED
desktop,3,0,CANDIDATE_SOURCE_REVIEW_REQUIRED
electric_coil,0,0,MODEL_REQUIRED
electric_grill_toaster,0,0,CANDIDATE_SOURCE_REVIEW_REQUIRED
electric_iron,30,0,CANDIDATE_SOURCE_REVIEW_REQUIRED
electric_kettle,1,0,CANDIDATE_SOURCE_REVIEW_REQUIRED
electric_rice_cooker,33,0,MODEL_REQUIRED
geyser,0,13,MODEL_REQUIRED
induction_cooktop,0,0,MODEL_REQUIRED
laptop_tablet,4,0,CANDIDATE_SOURCE_REVIEW_REQUIRED
led_bulb,353,0,MODEL_REQUIRED
led_tube,172,0,MODEL_REQUIRED
microwave,0,0,CANDIDATE_SOURCE_REVIEW_REQUIRED
mixer_grinder,271,0,CANDIDATE_SOURCE_REVIEW_REQUIRED
modem_router,1,0,CANDIDATE_SOURCE_REVIEW_REQUIRED
refrigerator,171,0,CANDIDATE_SOURCE_REVIEW_REQUIRED
table_fan,60,0,MODEL_REQUIRED
television,400,0,CANDIDATE_SOURCE_REVIEW_REQUIRED
washing_machine,55,0,CANDIDATE_SOURCE_REVIEW_REQUIRED
water_pump,63,0,CANDIDATE_SOURCE_REVIEW_REQUIRED
water_purifier,7,0,CANDIDATE_SOURCE_REVIEW_REQUIRED
