appliance_type,source_route,inventory_rows
air_conditioner,DOCUMENTED_SIMULATION_MODEL_REQUIRED,46
air_conditioner,INACTIVE_REPORTED_NOT_OWNED,452
air_cooler,DOCUMENTED_SIMULATION_MODEL_REQUIRED,44
air_cooler,INACTIVE_REPORTED_NOT_OWNED,454
ceiling_fan,DOCUMENTED_SIMULATION_MODEL_REQUIRED,484
ceiling_fan,INACTIVE_REPORTED_NOT_OWNED,14
cfl_bulb,DOCUMENTED_SIMULATION_MODEL_REQUIRED,147
cfl_bulb,INACTIVE_REPORTED_NOT_OWNED,351
cfl_tube,DOCUMENTED_SIMULATION_MODEL_REQUIRED,133
cfl_tube,INACTIVE_REPORTED_NOT_OWNED,365
desktop,DOCUMENTED_SIMULATION_MODEL_REQUIRED,1
desktop,INACTIVE_REPORTED_NOT_OWNED,495
desktop,SAME_SPLIT_TRACE_CANDIDATES,2
electric_coil,INACTIVE_REPORTED_NOT_OWNED,498
electric_grill_toaster,INACTIVE_REPORTED_NOT_OWNED,498
electric_iron,DOCUMENTED_SIMULATION_MODEL_REQUIRED,30
electric_iron,INACTIVE_REPORTED_NOT_OWNED,468
electric_kettle,INACTIVE_REPORTED_NOT_OWNED,497
electric_kettle,SAME_SPLIT_TRACE_CANDIDATES,1
electric_rice_cooker,DOCUMENTED_SIMULATION_MODEL_REQUIRED,33
electric_rice_cooker,INACTIVE_REPORTED_NOT_OWNED,465
geyser,DOCUMENTED_SIMULATION_MODEL_REQUIRED,498
incandescent_bulb,DOCUMENTED_SIMULATION_MODEL_REQUIRED,108
incandescent_bulb,INACTIVE_REPORTED_NOT_OWNED,390
induction_cooktop,INACTIVE_REPORTED_NOT_OWNED,498
laptop_tablet,DOCUMENTED_SIMULATION_MODEL_REQUIRED,4
laptop_tablet,INACTIVE_REPORTED_NOT_OWNED,494
led_bulb,DOCUMENTED_SIMULATION_MODEL_REQUIRED,353
led_bulb,INACTIVE_REPORTED_NOT_OWNED,145
led_tube,DOCUMENTED_SIMULATION_MODEL_REQUIRED,172
led_tube,INACTIVE_REPORTED_NOT_OWNED,326
microwave,INACTIVE_REPORTED_NOT_OWNED,498
mixer_grinder,DOCUMENTED_SIMULATION_MODEL_REQUIRED,271
mixer_grinder,INACTIVE_REPORTED_NOT_OWNED,227
modem_router,DOCUMENTED_SIMULATION_MODEL_REQUIRED,1
modem_router,INACTIVE_REPORTED_NOT_OWNED,497
refrigerator,INACTIVE_REPORTED_NOT_OWNED,327
refrigerator,SAME_SPLIT_TRACE_CANDIDATES,171
table_fan,DOCUMENTED_SIMULATION_MODEL_REQUIRED,60
table_fan,INACTIVE_REPORTED_NOT_OWNED,438
television,DOCUMENTED_SIMULATION_MODEL_REQUIRED,118
television,INACTIVE_REPORTED_NOT_OWNED,98
television,SAME_SPLIT_TRACE_CANDIDATES,282
washing_machine,INACTIVE_REPORTED_NOT_OWNED,443
washing_machine,SAME_SPLIT_TRACE_CANDIDATES,55
water_pump,DOCUMENTED_SIMULATION_MODEL_REQUIRED,63
water_pump,INACTIVE_REPORTED_NOT_OWNED,435
water_purifier,DOCUMENTED_SIMULATION_MODEL_REQUIRED,7
water_purifier,INACTIVE_REPORTED_NOT_OWNED,491
