Region,Household type,household_id,Deployment type,deployment_id,Date,Daily consumption (kWh),source_date,reported_energy_kwh
Pune,Basic,H077,Mainline,D0141,2/21/2019,0.08,2019-02-21,0.08
Pune,Basic,H077,Mainline,D0141,2/21/2019,0.08,2019-02-21,0.08
Pune,Basic,H077,Mainline,D0141,2/22/2019,0.44,2019-02-22,0.44
Pune,Basic,H077,Mainline,D0141,2/22/2019,0.44,2019-02-22,0.44
Pune,Basic,H077,Mainline,D0141,2/23/2019,0.21,2019-02-23,0.21
Pune,Basic,H077,Mainline,D0141,2/23/2019,0.21,2019-02-23,0.21
Pune,Basic,H077,Mainline,D0141,2/24/2019,0.54,2019-02-24,0.54
Pune,Basic,H077,Mainline,D0141,2/24/2019,0.54,2019-02-24,0.54
Pune,Basic,H077,Mainline,D0141,2/25/2019,0.3,2019-02-25,0.3
Pune,Basic,H077,Mainline,D0141,2/25/2019,0.3,2019-02-25,0.3
Pune,Basic,H077,Mainline,D0141,2/26/2019,0.0,2019-02-26,0.0
Pune,Basic,H077,Mainline,D0141,2/26/2019,0.0,2019-02-26,0.0
Pune,Basic,H077,Mainline,D0141,2/27/2019,0.54,2019-02-27,0.54
Pune,Basic,H077,Mainline,D0141,2/27/2019,0.54,2019-02-27,0.54
