channel_id,timestamps,median_gap_seconds,most_common_gap_seconds,largest_gap_seconds,gaps_over_60_seconds,gaps_over_900_seconds,bins_15min_in_observed_span,bins_without_valid_power,median_valid_samples_per_nonempty_bin,max_valid_samples_per_bin
1,4391059,1.0,1.0,31180.0,120,85,7071,344,672.0,900
2,4391059,1.0,1.0,31180.0,120,85,7071,344,672.0,900
3,4538844,1.0,1.0,12401.0,256,51,5731,163,845.0,900
4,640250,1.0,1.0,3338989.0,80,70,9841,9047,892.0,900
5,516704,1.0,1.0,3253940.0,126,98,9401,8684,841.0,900
6,23740,1.0,1.0,414968.0,55,25,5302,5247,451.0,893
7,2550997,1.0,1.0,91300.0,227,182,5727,2661,892.0,900
8,7134,1.0,1.0,792809.0,13,10,5558,5535,280.0,667
9,13340,1.0,1.0,1826257.0,11,8,3956,3927,557.0,826
10,428937,1.0,1.0,1477277.0,236,185,5214,4460,613.0,900
11,1694622,1.0,1.0,7091.0,251,15,2333,32,749.0,892
12,447812,6.0,6.0,38766.0,75,44,3468,237,140.0,325
