channel,appliance,screened_intervals,median_w,p95_w,max_w
1,mains,1874,15.609320939803963,2031.2951465986748,2801.864835942766
2,mains,1874,387.7250214023054,2429.3734043995864,3707.0117048863326
3,fridge,4949,76.80376985040276,99.19280047818103,133.61029574223244
4,air conditioner,664,1639.665484769975,1861.7051961825368,1983.5750569196427
5,air conditioner,514,1103.873324724755,1848.6170856581089,2050.069146732429
6,washing machine,7,206.20964725643896,224.72678229413543,227.6303579201935
7,laptop computer,2745,33.807408888888894,65.0806468149879,94.52908445945947
8,iron,0,,,
9,kitchen outlets,14,0.1433569628274855,0.16003874047390998,0.16053562653562653
10,television,299,73.12090636254501,74.74555045606645,76.2039090909091
11,water filter,1482,0.35955772037953126,2.421097358811682,12.60419861111111
12,water motor,0,,,
