,count,mean,std,min,1%,50%,99%,max,missing_rows,code_88_rows,code_99_rows,code_9999_rows
urban_rural_code,14851.0,1.3392364150562253,0.47346611745035955,1.0,1.0,1.0,2.0,2.0,0,0,0,0
household_size,14851.0,5.0488855969295,2.24130957775628,1.0,1.0,5.0,13.0,25.0,0,0,0,0
house_construction_code,14851.0,2.303144569389267,0.784755560329874,1.0,1.0,3.0,3.0,3.0,0,0,0,0
dwelling_type_code,11699.0,1.0752201042824172,0.2637574391067946,1.0,1.0,1.0,2.0,2.0,3152,0,0,0
bedroom_count,14851.0,1.970574372096155,1.0537136827873759,1.0,1.0,2.0,5.0,10.0,0,0,0,0
monthly_expenditure_inr,12459.0,8176.413837386628,5383.026855974653,1000.0,1557.9999999999998,6500.0,30000.0,100000.0,2392,0,0,0
income_category_code,14851.0,7.418288330752138,19.41473908651012,1.0,1.0,3.0,88.0,88.0,0,812,0,0
grid_supply_status_code,14851.0,0.9729984512827419,0.18315829641712347,0.0,0.0,1.0,1.0,2.0,0,0,0,0
grid_connected,14851.0,0.9693623325028617,0.1723397828714795,0.0,0.0,1.0,1.0,1.0,0,0,0,0
grid_supply_available,14851.0,0.9657262137229816,0.18193768918633788,0.0,0.0,1.0,1.0,1.0,0,0,0,0
grid_services_questions_applicable,14851.0,0.9657262137229816,0.18193768918633788,0.0,0.0,1.0,1.0,1.0,0,0,0,0
grid_supply_hours_daily,14342.0,20.54650676335239,4.063426429540861,6.0,9.0,22.0,24.0,24.0,509,0,0,0
evening_supply_hours,14342.0,5.1374076140008365,1.2211641784407872,0.0,1.0,6.0,6.0,6.0,509,0,0,0
power_cut_pattern_code,14341.0,5.170281012481696,16.169534549363586,1.0,1.0,2.0,99.0,99.0,510,0,410,0
power_cut_known_source_code,12299.0,0.12293682413204325,0.3283780275184868,0.0,0.0,0.0,1.0,1.0,2552,0,0,0
power_cut_known,12299.0,0.12293682413204325,0.32837802751848527,0.0,0.0,0.0,1.0,1.0,2552,0,0,0
severe_power_cut_days_rural,6329.0,0.8045504819086744,1.4862001617175136,0.0,0.0,0.0,5.0,30.0,8522,0,0,0
severe_power_cut_days_urban,2930.0,0.468259385665529,0.9402694097679334,0.0,0.0,0.0,4.0,7.0,11921,0,0,0
low_voltage_days,10538.0,0.7765230594040615,1.915524301494323,0.0,0.0,0.0,10.0,30.0,4313,0,0,0
voltage_damage_days,10710.0,0.2680672268907563,0.7948251596542055,0.0,0.0,0.0,4.0,6.0,4141,0,0,0
voltage_stabilizer_available_source_code,14341.0,0.14259814517816052,0.34967476352292853,0.0,0.0,0.0,1.0,1.0,510,0,0,0
voltage_stabilizer_available,14341.0,0.14259814517816052,0.3496747635229286,0.0,0.0,0.0,1.0,1.0,510,0,0,0
average_monthly_bill_inr,9768.0,720.0466149835217,738.5805646900844,0.0,0.0,483.33334,3333.3333,12333.333,5083,0,0,0
inverter_battery_available_source_code,14851.0,0.05474378829708437,0.227487121789562,0.0,0.0,0.0,1.0,1.0,0,0,0,0
inverter_battery_available,14851.0,0.05474378829708437,0.227487121789562,0.0,0.0,0.0,1.0,1.0,0,0,0,0
generator_available_source_code,14851.0,0.0030974345161941955,0.05557021100368081,0.0,0.0,0.0,0.0,1.0,0,0,0,0
generator_available,14851.0,0.0030974345161941955,0.05557021100368081,0.0,0.0,0.0,0.0,1.0,0,0,0,0
solar_home_system_available_source_code,14851.0,0.01016766547707225,0.1003242831291839,0.0,0.0,0.0,1.0,1.0,0,0,0,0
solar_home_system_available,14851.0,0.01016766547707225,0.1003242831291839,0.0,0.0,0.0,1.0,1.0,0,0,0,0
solar_home_system_capacity_w,86.0,430.0348837209302,552.704568413615,20.0,20.0,200.0,2075.0000000000027,2500.0,14765,0,0,0
primary_electricity_source_code,14406.0,1.011314729973622,0.1656256110678647,1.0,1.0,1.0,1.0,6.0,445,0,0,0
led_bulb_count,14400.0,2.7801388888888887,2.070966773460576,0.0,0.0,3.0,10.0,20.0,451,0,0,0
led_tube_count,14400.0,0.38930555555555557,0.8751316929085702,0.0,0.0,0.0,4.0,11.0,451,0,0,0
ceiling_fan_available_source_code,14408.0,0.8990838423098279,0.3012281271481238,0.0,0.0,1.0,1.0,1.0,443,0,0,0
ceiling_fan_available,14408.0,0.8990838423098279,0.3012281271481235,0.0,0.0,1.0,1.0,1.0,443,0,0,0
ceiling_fan_count,12954.0,1.9366218928516288,1.0086083038382083,1.0,1.0,2.0,5.0,8.0,1897,0,0,0
ceiling_fan_months_per_year,12954.0,7.796819515207658,2.377570065563218,3.0,4.0,7.0,12.0,12.0,1897,0,0,0
table_fan_available_source_code,14407.0,0.14215312001110572,0.34921923687038925,0.0,0.0,0.0,1.0,1.0,444,0,0,0
table_fan_available,14407.0,0.14215312001110572,0.34921923687038925,0.0,0.0,0.0,1.0,1.0,444,0,0,0
table_fan_count,2048.0,1.13916015625,0.3836798628558572,1.0,1.0,1.0,3.0,3.0,12803,0,0,0
air_cooler_available_source_code,14407.0,0.12584160477545636,0.3316822747326066,0.0,0.0,0.0,1.0,1.0,444,0,0,0
air_cooler_available,14407.0,0.12584160477545636,0.3316822747326066,0.0,0.0,0.0,1.0,1.0,444,0,0,0
air_cooler_count,1813.0,1.1588527302813016,0.4204029482480911,1.0,1.0,1.0,3.0,4.0,13038,0,0,0
air_conditioner_available_source_code,14396.0,0.032578494026118364,0.17753682773812637,0.0,0.0,0.0,1.0,1.0,455,0,0,0
air_conditioner_available,14396.0,0.032578494026118364,0.17753682773812637,0.0,0.0,0.0,1.0,1.0,455,0,0,0
air_conditioner_count,469.0,1.1961620469083156,0.45280014761999593,1.0,1.0,1.0,3.0,4.0,14382,0,0,0
primary_ac_capacity_ton,389.0,1.4115681233933162,0.34892302434692873,0.5,0.5,1.5,2.0600000000000023,2.5,14462,0,0,0
ac_hours_daily_mar_jun,469.0,5.959488272921109,3.1004308623879444,0.0,0.0,5.0,12.0,17.0,14382,0,0,0
ac_hours_daily_jul_oct,469.0,4.017057569296376,2.6583859971656785,0.0,0.0,4.0,11.0,12.0,14382,0,0,0
ac_hours_daily_nov_feb,469.0,0.6812366737739872,1.121349616799598,0.0,0.0,0.0,4.0,6.0,14382,0,0,0
geyser_count,559.0,1.0536672629695885,0.23337166394423506,1.0,1.0,1.0,2.0,3.0,14292,0,0,0
television_available_source_code,14407.0,0.729714722010134,0.4441225477215262,0.0,0.0,1.0,1.0,1.0,444,0,0,0
television_available,14407.0,0.729714722010134,0.444122547721526,0.0,0.0,1.0,1.0,1.0,444,0,0,0
television_count,10513.0,1.0347189194330828,0.18667757082646377,1.0,1.0,1.0,2.0,4.0,4338,0,0,0
desktop_available_source_code,14406.0,0.011800638622796056,0.10799163434314284,0.0,0.0,0.0,1.0,1.0,445,0,0,0
desktop_available,14406.0,0.011800638622796056,0.10799163434314284,0.0,0.0,0.0,1.0,1.0,445,0,0,0
laptop_tablet_available_source_code,14406.0,0.040677495487991114,0.1975488441561317,0.0,0.0,0.0,1.0,1.0,445,0,0,0
