house_id,file_name,size_mb,column_count,schema_valid,columns
1,House_1.csv,369.0,12,True,Time|Unix|Aggregate|Appliance1|Appliance2|Appliance3|Appliance4|Appliance5|Appliance6|Appliance7|Appliance8|Appliance9
2,House_2.csv,299.38,12,True,Time|Unix|Aggregate|Appliance1|Appliance2|Appliance3|Appliance4|Appliance5|Appliance6|Appliance7|Appliance8|Appliance9
3,House_3.csv,375.06,12,True,Time|Unix|Aggregate|Appliance1|Appliance2|Appliance3|Appliance4|Appliance5|Appliance6|Appliance7|Appliance8|Appliance9
4,House_4.csv,364.54,12,True,Time|Unix|Aggregate|Appliance1|Appliance2|Appliance3|Appliance4|Appliance5|Appliance6|Appliance7|Appliance8|Appliance9
5,House_5.csv,400.94,12,True,Time|Unix|Aggregate|Appliance1|Appliance2|Appliance3|Appliance4|Appliance5|Appliance6|Appliance7|Appliance8|Appliance9
6,House_6.csv,337.52,12,True,Time|Unix|Aggregate|Appliance1|Appliance2|Appliance3|Appliance4|Appliance5|Appliance6|Appliance7|Appliance8|Appliance9
7,House_7.csv,358.07,12,True,Time|Unix|Aggregate|Appliance1|Appliance2|Appliance3|Appliance4|Appliance5|Appliance6|Appliance7|Appliance8|Appliance9
8,House_8.csv,327.3,12,True,Time|Unix|Aggregate|Appliance1|Appliance2|Appliance3|Appliance4|Appliance5|Appliance6|Appliance7|Appliance8|Appliance9
9,House_9.csv,329.87,12,True,Time|Unix|Aggregate|Appliance1|Appliance2|Appliance3|Appliance4|Appliance5|Appliance6|Appliance7|Appliance8|Appliance9
10,House_10.csv,367.43,12,True,Time|Unix|Aggregate|Appliance1|Appliance2|Appliance3|Appliance4|Appliance5|Appliance6|Appliance7|Appliance8|Appliance9
11,House_11.csv,235.53,12,True,Time|Unix|Aggregate|Appliance1|Appliance2|Appliance3|Appliance4|Appliance5|Appliance6|Appliance7|Appliance8|Appliance9
12,House_12.csv,308.31,12,True,Time|Unix|Aggregate|Appliance1|Appliance2|Appliance3|Appliance4|Appliance5|Appliance6|Appliance7|Appliance8|Appliance9
13,House_13.csv,254.67,12,True,Time|Unix|Aggregate|Appliance1|Appliance2|Appliance3|Appliance4|Appliance5|Appliance6|Appliance7|Appliance8|Appliance9
15,House_15.csv,324.92,12,True,Time|Unix|Aggregate|Appliance1|Appliance2|Appliance3|Appliance4|Appliance5|Appliance6|Appliance7|Appliance8|Appliance9
16,House_16.csv,307.55,12,True,Time|Unix|Aggregate|Appliance1|Appliance2|Appliance3|Appliance4|Appliance5|Appliance6|Appliance7|Appliance8|Appliance9
17,House_17.csv,292.84,12,True,Time|Unix|Aggregate|Appliance1|Appliance2|Appliance3|Appliance4|Appliance5|Appliance6|Appliance7|Appliance8|Appliance9
18,House_18.csv,278.01,12,True,Time|Unix|Aggregate|Appliance1|Appliance2|Appliance3|Appliance4|Appliance5|Appliance6|Appliance7|Appliance8|Appliance9
19,House_19.csv,295.11,12,True,Time|Unix|Aggregate|Appliance1|Appliance2|Appliance3|Appliance4|Appliance5|Appliance6|Appliance7|Appliance8|Appliance9
20,House_20.csv,276.01,12,True,Time|Unix|Aggregate|Appliance1|Appliance2|Appliance3|Appliance4|Appliance5|Appliance6|Appliance7|Appliance8|Appliance9
21,House_21.csv,291.77,12,True,Time|Unix|Aggregate|Appliance1|Appliance2|Appliance3|Appliance4|Appliance5|Appliance6|Appliance7|Appliance8|Appliance9
