house_id,input_intervals,output_channel_rows,missing_power_rows,negative_power_rows,nonfinite_power_rows,start_source_timestamp,end_source_timestamp,status
1,53970,539700,0,0,0,2013-10-09 13:00:00,2015-07-10 11:45:00,SCHEMA_UPGRADED_PENDING_SOURCE_METHOD_REVIEW
2,45093,450930,0,0,0,2013-09-17 22:00:00,2015-05-28 08:00:00,SCHEMA_UPGRADED_PENDING_SOURCE_METHOD_REVIEW
3,52447,524470,0,0,0,2013-09-25 19:15:00,2015-06-02 10:45:00,SCHEMA_UPGRADED_PENDING_SOURCE_METHOD_REVIEW
4,53375,533750,0,0,0,2013-10-11 10:15:00,2015-07-07 09:45:00,SCHEMA_UPGRADED_PENDING_SOURCE_METHOD_REVIEW
5,57224,572240,0,0,0,2013-09-26 09:45:00,2015-07-06 17:45:00,SCHEMA_UPGRADED_PENDING_SOURCE_METHOD_REVIEW
6,47205,472050,0,0,0,2013-11-28 12:15:00,2015-06-28 22:00:00,SCHEMA_UPGRADED_PENDING_SOURCE_METHOD_REVIEW
7,51605,516050,0,0,0,2013-11-01 22:00:00,2015-07-08 02:00:00,SCHEMA_UPGRADED_PENDING_SOURCE_METHOD_REVIEW
8,47934,479340,0,0,0,2013-11-01 22:00:00,2015-05-10 23:30:00,SCHEMA_UPGRADED_PENDING_SOURCE_METHOD_REVIEW
9,46260,462600,0,0,0,2013-12-17 17:15:00,2015-07-08 18:45:00,SCHEMA_UPGRADED_PENDING_SOURCE_METHOD_REVIEW
10,50880,508800,0,0,0,2013-11-20 11:30:00,2015-06-30 11:00:00,SCHEMA_UPGRADED_PENDING_SOURCE_METHOD_REVIEW
11,33607,336070,0,0,0,2014-06-03 11:30:00,2015-06-30 15:00:00,SCHEMA_UPGRADED_PENDING_SOURCE_METHOD_REVIEW
12,43876,438760,0,0,0,2014-03-07 10:45:00,2015-07-08 02:00:00,SCHEMA_UPGRADED_PENDING_SOURCE_METHOD_REVIEW
13,37551,375510,0,0,0,2014-01-17 22:15:00,2015-05-31 11:00:00,SCHEMA_UPGRADED_PENDING_SOURCE_METHOD_REVIEW
15,47690,476900,0,0,0,2013-12-17 17:15:00,2015-07-08 02:00:00,SCHEMA_UPGRADED_PENDING_SOURCE_METHOD_REVIEW
16,43805,438050,0,0,0,2014-01-10 10:45:00,2015-07-08 02:00:00,SCHEMA_UPGRADED_PENDING_SOURCE_METHOD_REVIEW
17,42463,424630,0,0,0,2014-03-06 16:15:00,2015-06-19 14:45:00,SCHEMA_UPGRADED_PENDING_SOURCE_METHOD_REVIEW
18,40105,401050,0,0,0,2014-03-07 10:30:00,2015-05-24 11:30:00,SCHEMA_UPGRADED_PENDING_SOURCE_METHOD_REVIEW
19,42516,425160,0,0,0,2014-03-06 16:15:00,2015-06-20 03:30:00,SCHEMA_UPGRADED_PENDING_SOURCE_METHOD_REVIEW
20,41605,416050,0,0,0,2014-03-20 12:00:00,2015-06-23 19:30:00,SCHEMA_UPGRADED_PENDING_SOURCE_METHOD_REVIEW
21,42720,427200,0,0,0,2014-03-07 16:15:00,2015-07-10 11:45:00,SCHEMA_UPGRADED_PENDING_SOURCE_METHOD_REVIEW
