house,channel,appliance,split,intervals,excluded_invalid_power,segments,longest_segment_intervals
1,1,refrigerator,validation,53970,0,49,8973
1,5,washing_machine,validation,53970,0,49,8973
2,2,washing_machine,train,45093,0,147,5176
2,4,television,train,45093,0,147,5176
2,5,microwave,train,45093,0,147,5176
2,8,electric_kettle,train,45093,0,147,5176
3,6,washing_machine,train,52447,0,37,8920
3,7,television,train,52447,0,37,8920
3,8,microwave,train,52447,0,37,8920
3,9,electric_kettle,train,52447,0,37,8920
4,1,refrigerator,test,53375,0,406,8637
4,4,washing_machine,test,53375,0,406,8637
4,5,washing_machine,test,53375,0,406,8637
4,8,microwave,test,53375,0,406,8637
4,9,electric_kettle,test,53375,0,406,8637
5,3,washing_machine,train,57224,0,412,8920
5,8,electric_kettle,train,57224,0,412,8920
6,2,washing_machine,train,47205,0,43,4631
6,6,microwave,train,47205,0,43,4631
6,7,electric_kettle,train,47205,0,43,4631
7,1,refrigerator,train,51605,0,43,8920
7,5,washing_machine,train,51605,0,43,8920
7,9,electric_kettle,train,51605,0,43,8920
8,1,refrigerator,validation,47934,0,35,8920
8,4,washing_machine,validation,47934,0,35,8920
8,8,microwave,validation,47934,0,35,8920
8,9,electric_kettle,validation,47934,0,35,8920
9,3,washing_machine,train,46260,0,27,8920
9,6,microwave,train,46260,0,27,8920
9,7,electric_kettle,train,46260,0,27,8920
10,5,washing_machine,train,50880,0,395,4868
10,8,microwave,train,50880,0,395,4868
11,1,refrigerator,test,33607,0,24,8920
11,3,washing_machine,test,33607,0,24,8920
11,6,microwave,test,33607,0,24,8920
11,7,electric_kettle,test,33607,0,24,8920
11,8,modem_router,test,33607,0,24,8920
12,3,microwave,train,43876,0,26,6219
12,4,electric_kettle,train,43876,0,26,6219
13,3,washing_machine,train,37551,0,101,3637
13,8,microwave,train,37551,0,101,3637
13,9,electric_kettle,train,37551,0,101,3637
15,3,washing_machine,train,47690,0,363,8920
15,7,microwave,train,47690,0,363,8920
15,8,electric_kettle,train,47690,0,363,8920
16,5,washing_machine,validation,43805,0,377,8920
17,4,washing_machine,train,42463,0,31,8920
17,7,microwave,train,42463,0,31,8920
17,8,electric_kettle,train,42463,0,31,8920
18,1,refrigerator,train,40105,0,26,8973
18,5,washing_machine,train,40105,0,26,8973
18,7,desktop,train,40105,0,26,8973
18,9,microwave,train,40105,0,26,8973
19,2,washing_machine,test,42516,0,27,8973
19,4,microwave,test,42516,0,27,8973
19,5,electric_kettle,test,42516,0,27,8973
20,1,refrigerator,train,41605,0,19,8973
20,4,washing_machine,train,41605,0,19,8973
20,8,microwave,train,41605,0,19,8973
20,9,electric_kettle,train,41605,0,19,8973
21,3,washing_machine,train,42720,0,36,8973
21,6,television,train,42720,0,36,8973
