candidate_house_id,garud_rows,envilog_rows,intervals_15min,garud_start,garud_end,missing_ac_status,missing_temperature,missing_humidity,bins_with_both_streams,primary_ac_phase_from_metadata,status,garud_source_rows,garud_unique_timestamps,garud_duplicate_rows,garud_rows_consolidated,garud_conflicting_timestamps,envilog_source_rows,envilog_unique_timestamps,envilog_duplicate_rows,envilog_rows_consolidated,envilog_conflicting_timestamps
1,27360,5472,1824,2019-05-10,2019-05-28 23:59:00,0,0,0,1824,Y,PREPARED_PENDING_SEMANTIC_QA,27360,27360,0,0,0,5472,5472,0,0,0
2,27360,5472,1824,2019-05-10,2019-05-28 23:59:00,0,0,0,1824,R,PREPARED_PENDING_SEMANTIC_QA,27360,27360,0,0,0,5472,5472,0,0,0
3,27360,5471,1824,2019-05-10,2019-05-28 23:59:00,0,1,1,1824,R,PREPARED_PENDING_SEMANTIC_QA,27360,27360,0,0,0,5472,5471,2,1,1
4,27360,5472,1824,2019-05-10,2019-05-28 23:59:00,0,0,0,1824,R,PREPARED_PENDING_SEMANTIC_QA,27360,27360,0,0,0,5472,5472,0,0,0
5,27360,5472,1824,2019-05-10,2019-05-28 23:59:00,0,0,0,1824,B,PREPARED_PENDING_SEMANTIC_QA,27360,27360,0,0,0,5472,5472,0,0,0
6,27360,5472,1824,2019-05-10,2019-05-28 23:59:00,0,0,0,1824,R,PREPARED_PENDING_SEMANTIC_QA,27360,27360,0,0,0,5472,5472,0,0,0
7,27360,5472,1824,2019-05-10,2019-05-28 23:59:00,0,0,0,1824,Y,PREPARED_PENDING_SEMANTIC_QA,27360,27360,0,0,0,5472,5472,0,0,0
8,27360,5471,1824,2019-05-10,2019-05-28 23:59:00,0,1,1,1824,R,PREPARED_PENDING_SEMANTIC_QA,27360,27360,0,0,0,5472,5471,2,1,1
9,27360,5472,1824,2019-05-10,2019-05-28 23:59:00,0,0,0,1824,R,PREPARED_PENDING_SEMANTIC_QA,27360,27360,0,0,0,5472,5472,0,0,0
10,27360,5471,1824,2019-05-10,2019-05-28 23:59:00,0,1,1,1824,R,PREPARED_PENDING_SEMANTIC_QA,27360,27360,0,0,0,5472,5471,2,1,1
11,27360,5472,1824,2019-05-10,2019-05-28 23:59:00,0,0,0,1824,R,PREPARED_PENDING_SEMANTIC_QA,27360,27360,0,0,0,5472,5472,0,0,0
