house,days,usable,r_2019,r_2021
1,19,True,0.5075924428368801,0.24853766887250117
2,19,True,0.3551761181574557,-0.24527780195642868
3,19,True,-0.07296639500801155,0.31087050936707505
4,19,True,0.840753210850467,0.0988534732967889
5,19,True,0.25580552260834116,0.2528535078093975
6,19,True,0.45637082717171884,-0.21381754855498694
7,19,True,0.6702670762330754,0.2828682359901856
8,19,True,0.8590570181080983,0.40697564969229566
9,19,True,-0.014720635733352428,-0.42278224501031464
10,19,True,0.8600436566124614,0.11491798813750509
11,19,True,-0.018397595947992777,0.12320391444692785
